text,true_label_name,pred_label_name
я сдавал анализ крови и в результате показано повышенное количество лейкоцитов что это значит,гематолог,терапевт
я пью много воды но все равно чувствую себя обезвоженным что я делаю не так,диетолог,терапевт
у меня постоянно болит голова и снизился либидо врач сказал что у меня гормональный дисбаланс но не объяснил что делать,эндокринолог,андролог
у меня болит живот я не могу нормально есть и спать врач назначил мне обследования но я не понял что мне делать пока они не закончатся,хирург,терапевт
у меня на лице появились мелкие красные высыпания что это может быть и как с этим бороться,косметолог,дерматолог
я заметил что у меня часто болит живот после употребления жирной пищи может ли это быть связано с питанием и что я могу сделать,гастроэнтеролог,диетолог
у меня повышен уровень холестерина врач назначил повторные анализы через месяц что это значит и как подготовиться к ним,терапевт,кардиолог
мне поставили диагноз рак молочной железы но я не понимаю что это значит для меня можете подсказать к какому специалисту мне обратиться,маммолог,онколог
у меня появились небольшие прыщики на щеках они красные и чешутся что это может быть и как с этим бороться,косметолог,дерматолог
врач сказал что у меня киста на почки что это такое и как лечится,онколог,уролог
у меня опухоль в груди что это может быть,маммолог,онколог
у меня болит голова как будто кто то давит сверху что это может быть и чем можно лечиться,терапевт,невролог
у меня болит спина и я уже больше месяца хожу к терапевту но состояние не улучшается может это серьезно,ортопед,хирург
у меня упал тестостерон что делать,эндокринолог,андролог
врач дерматолог назначил мне препарат для лечения акне но я не знаю как его правильно использовать он сказал что нужно наносить на чистую кожу утром и вечером но как правильно очищать кожу перед применением,дерматолог,косметолог
я сдавал анализы крови и в результатах указан повышенный уровень холестерина что это значит и что мне делать,кардиолог,терапевт
у меня на лице появились мелкие красные прыщики что это может быть и как от них избавиться,косметолог,дерматолог
у меня запор уже неделю я принимаю слабительное но оно не помогает что мне делать,проктолог,гастроэнтеролог
у меня проблемы с потенцией уже полгода не могу нормально заниматься интимной жизнью с чем это может быть связано и что делать,андролог,уролог
я сдавал анализ крови на холестерин в результатах указано что у меня повышен лпнп что это значит и как с этим бороться,терапевт,кардиолог
у меня на лице появились красные высыпания похожие на угри но без гнойников что это может быть и как лечить,косметолог,дерматолог
у меня болит колено уже несколько месяцев что мне делать,хирург,травматолог
у меня появились прыщики на щеке что мне делать,косметолог,дерматолог
у меня повышенный холестерин врач назначил дополнительные анализы что они покажут и зачем они нужны,терапевт,кардиолог
у меня сильные боли в суставах особенно утром что мне можно принимать,ревматолог,травматолог
у меня повышен уровень холестерина врач назначил повторные анализы через месяц я не совсем понимаю что это за анализы и зачем они нужны,терапевт,кардиолог
у меня снизился либидо и появилась эректильная дисфункция к какому врачу мне обратиться,уролог,андролог
у меня повышен уровень холестерина врач назначил повторные анализы через месяц что это значит,терапевт,кардиолог
у меня постоянно чешется кожа особенно на руках и ногах я уже неделю принимаю антигистаминные препараты но состояние не улучшается что мне делать,дерматолог,аллерголог
у меня постоянная усталость хотя я сплю достаточно что это может быть,диетолог,терапевт
у меня повышен уровень холестерина врач назначил анализ крови на липидный спектр что это такое и зачем он нужен,терапевт,кардиолог
у меня опухоль в груди что мне делать,хирург,онколог
у меня постоянно болит голова уже неделю что это может быть и что мне делать,терапевт,невролог
у меня проблемы с пищеварением часто мучает изжога и вздутие живота врач сказал что у меня непереносимость лактозы но не сказал что нужно делать что можно есть,диетолог,гастроэнтеролог
я планирую беременность но у меня цикл нерегулярный что мне делать,репродуктолог,гинеколог
моему сыну года у него появилась сыпь на коже она красная слегка зудит и появилась вчера после прогулки в лесу что это может быть и что можно сделать,педиатр,дерматолог
у меня снизился либидо что это может быть,уролог,андролог
у меня болит голова уже три дня принимаю обезболивающие но не помогает что делать,терапевт,невролог
я хочу похудеть но не знаю с чего начать можете подсказать какой рацион питания мне подойдет,терапевт,диетолог
что делать с пигментными пятнами на лице,косметолог,дерматолог
у меня тревога и бессонница уже несколько месяцев я не могу нормально спать постоянно волнуюсь и мне кажется что у меня сердце бьется очень быстро что мне делать,терапевт,психиатр
мой ребенок постоянно чешется я уже купил ему крем от аллергии но ничего не помогает что делать,дерматолог,педиатр
у меня болит горло и температура может ли это быть ангиной,лор,терапевт
мне лет и я заметил что мои волосы стали ломкими и выпадают я уже перепробовал несколько шампуней но изменений не заметил может ли это быть связано с моей диетой что мне нужно есть чтобы улучшить состояние волос,дерматолог,диетолог
мне лет вес кг рост см в последнее время я много времени провожу за компьютером мало двигаюсь и заметила что мой вес стал увеличиваться хотелось бы узнать какие продукты питания я могу включать в свой рацион чтобы похудеть и улучшить свое общее самочувствие,терапевт,диетолог
у меня проблемы с пищеварением после еды чувствую тяжесть и вздутие живота что я могу сделать,диетолог,гастроэнтеролог
у меня на руке появился небольшой но отекший и покрасневший участок он немного зудит и я боюсь что это может быть что то серьезное что это может быть и как мне от него избавиться,хирург,дерматолог
у меня проблемы с пищеварением после еды что посоветуете,диетолог,гастроэнтеролог
я заметила что у меня появились первые морщины вокруг глаз что можно сделать чтобы их уменьшить,дерматолог,косметолог
у меня в родинке появилось изменение цвета что это может быть,дерматолог,репродуктолог
у меня повышенный холестерин что я могу изменить в своем рационе чтобы его снизить,терапевт,диетолог
доктор прописал мне препарат но я не совсем понимаю как его принимать в инструкции написано что принимать его нужно по необходимости а я не знаю когда это по необходимости будет как правильно принимать этот препарат,андролог,терапевт
у меня обнаружили атипичные клетки в моче что это может значить,уролог,онколог
у меня скапливается жидкость в мочевом пузыре я хожу в туалет часто но выделяется немного что это может быть,гинеколог,уролог
я заметил что у меня появились проблемы с пищеварением после того как я начал есть много сладкого что мне делать,диетолог,гастроэнтеролог
у меня на руках результаты анализа крови где написано что у меня высокий уровень ige врач сказал что это может быть связано с моей кожной проблемой но не объяснил как что это значит,дерматолог,аллерголог
у меня опухоль в области мошонки беспокоит боль и дискомфорт что это может быть и как мне поступить,онколог,проктолог
у моего ребенка года наблюдается частый кашель и одышка что это может быть и как помочь,пульмонолог,педиатр
